time	I(Iprim)
1.1467999999972833e-06	-28.48755366184383
1.1469999999999536e-06	-28.507798633474
1.147200000002624e-06	-28.52797888389117
1.1473999999983553e-06	-28.548094442451934
1.1476000000010256e-06	-28.568145338592895
1.1478000001008404e-06	-28.588131601830625
1.1479999999994273e-06	-28.608053261761455
1.1482000000020975e-06	-28.627910348061416
1.148399999997829e-06	-28.647702890486084
1.1486000000004992e-06	-28.667430918870426
1.1488000000031695e-06	-28.687094463128734
1.148999999998901e-06	-28.70669355325444
1.1492000000015712e-06	-28.72622821932002
1.1493999999973026e-06	-28.74569849147686
1.1495999999999729e-06	-28.765104399955128
1.1498000000026432e-06	-28.784445975063647
1.1499999999983745e-06	-28.80372324718977
1.1502000000010448e-06	-28.822936246799244
1.1504000001008596e-06	-28.84208500443609
1.1505999999994465e-06	-28.86116955072248
1.1508000000021168e-06	-28.8801899163586
1.1509999999978482e-06	-28.89914613212253
1.1512000000005185e-06	-28.918038228870124
1.1514000000031888e-06	-28.936866237534847
1.1515999999989202e-06	-28.955630189127696
1.1518000000015904e-06	-28.974330114737047
1.1519999999973218e-06	-28.99296604552853
1.1521999999999921e-06	-29.011538012744897
1.1524000000026624e-06	-29.030046047705905
1.1525999999983938e-06	-29.048490181808184
1.152800000001064e-06	-29.066870446525105
1.1530000001008789e-06	-29.085186873406663
1.1531999999994658e-06	-29.10343949407936
1.153400000002136e-06	-29.121628340246016
1.1535999999978674e-06	-29.139753443685752
1.1538000000005377e-06	-29.15781483625374
1.154000000003208e-06	-29.17581254988117
1.1541999999989394e-06	-29.193746616575066
1.1544000000016097e-06	-29.211617068418196
1.154599999997341e-06	-29.22942393756892
1.1548000000000114e-06	-29.24716725626107
1.1550000000026817e-06	-29.264847056803816
1.155199999998413e-06	-29.28246337158157
1.1554000000010833e-06	-29.300016233053817
1.1556000001008981e-06	-29.317505673755
1.155799999999485e-06	-29.334931726294407
1.1560000000021553e-06	-29.352294423356042
1.1561999999978867e-06	-29.36959379769848
1.156400000000557e-06	-29.386829882154736
1.1566000000032273e-06	-29.40400270963219
1.1567999999989587e-06	-29.42111231311239
1.157000000001629e-06	-29.43815872565096
1.1571999999973603e-06	-29.45514198037748
1.1574000000000306e-06	-29.472062110495333
1.157600000002701e-06	-29.488919149281607
1.1577999999984323e-06	-29.505713130086946
1.1580000000011026e-06	-29.522444086335412
1.1582000001009174e-06	-29.53911205152441
1.1583999999995043e-06	-29.55571705922449
1.1586000000021746e-06	-29.57225914307929
1.158799999997906e-06	-29.588738336805335
1.1590000000005762e-06	-29.605154674191976
1.1592000000032465e-06	-29.62150818910123
1.159399999998978e-06	-29.63779891546765
1.1596000000016482e-06	-29.6540268872982
1.1597999999973796e-06	-29.67019213867216
1.1600000000000499e-06	-29.686294703740945
1.1602000000027202e-06	-29.702334616728013
1.1603999999984516e-06	-29.718311911928733
1.1606000000011218e-06	-29.734226623710246
1.1608000001009366e-06	-29.75007878651135
1.1609999999995235e-06	-29.76586843484236
1.1612000000021938e-06	-29.781595603285005
1.1613999999979252e-06	-29.797260326492275
1.1616000000005955e-06	-29.812862639188296
1.1618000000032658e-06	-29.828402576168212
1.1619999999989972e-06	-29.843880172298075
1.1622000000016675e-06	-29.859295462514662
1.1623999999973988e-06	-29.874648481825407
1.1626000000000691e-06	-29.88993926530826
1.1628000000027394e-06	-29.905167848111525
1.1629999999984708e-06	-29.920334265453775
1.163200000001141e-06	-29.935438552623705
1.163400000100956e-06	-29.95048074498
1.1635999999995428e-06	-29.965460877951212
1.163800000002213e-06	-29.980378987035657
1.1639999999979445e-06	-29.99523510780124
1.1642000000006147e-06	-30.010029275885376
1.164400000003285e-06	-30.024761526994837
1.1645999999990164e-06	-30.039431896905604
1.1648000000016867e-06	-30.0540404214628
1.164999999997418e-06	-30.0685871365805
1.1652000000000884e-06	-30.08307207824165
1.1654000000027587e-06	-30.09749528249792
1.16559999999849e-06	-30.111856785469552
1.1658000000011604e-06	-30.126156623345288
1.1660000000038306e-06	-30.140394832382206
1.166199999999562e-06	-30.154571448905592
1.1664000000022323e-06	-30.168686509308824
1.1665999999979637e-06	-30.182740050053248
1.166800000000634e-06	-30.19673210766804
1.1670000000033043e-06	-30.21066271875007
1.1671999999990357e-06	-30.224531919963816
1.167400000001706e-06	-30.238339748041195
1.1675999999974374e-06	-30.25208623978145
1.1678000000001076e-06	-30.26577143205101
1.168000000002778e-06	-30.27939536178341
1.1681999999985093e-06	-30.292958065979107
1.1684000000011796e-06	-30.30645958170537
1.1686000000038499e-06	-30.319899946096164
1.1687999999995813e-06	-30.33327919635203
1.1690000000022516e-06	-30.346597369739932
1.169199999997983e-06	-30.35985450359316
1.1694000000006533e-06	-30.37305063531116
1.1696000000033235e-06	-30.386185802359456
1.169799999999055e-06	-30.399260042269496
1.1700000000017252e-06	-30.412273392638532
1.1701999999974566e-06	-30.42522589112948
1.170400000000127e-06	-30.438117575470812
1.1706000000027972e-06	-30.450948483456425
1.1707999999985286e-06	-30.463718652945506
1.1710000000011989e-06	-30.476428121862394
1.1712000000038691e-06	-30.489076928196496
1.1713999999996005e-06	-30.50166511000212
1.1716000000022708e-06	-30.514192705398354
1.1717999999980022e-06	-30.526659752568957
1.1720000000006725e-06	-30.539066289762207
1.1722000000033428e-06	-30.55141235529081
1.1723999999990742e-06	-30.563697987531732
1.1726000000017445e-06	-30.5759232249261
1.1727999999974759e-06	-30.58808810597906
1.1730000000001461e-06	-30.600192669259663
1.1732000000028164e-06	-30.612236953400732
1.1733999999985478e-06	-30.624220997098735
1.1736000000012181e-06	-30.63614483911367
1.1738000000038884e-06	-30.64800851826889
1.1739999999996198e-06	-30.659812073451064
1.17420000000229e-06	-30.67155554360996
1.1743999999980215e-06	-30.683238967758385
1.1746000000006918e-06	-30.694862384972012
1.1748000001005066e-06	-30.70642583438929
1.1749999999990934e-06	-30.71792935521128
1.1752000000017637e-06	-30.729372986701573
1.1753999999974951e-06	-30.74075676818612
1.1756000000001654e-06	-30.75208073905313
1.1758000000028357e-06	-30.76334493875295
1.175999999998567e-06	-30.774549406797902
1.1762000000012374e-06	-30.785694182762214
1.1764000000039077e-06	-30.79677930628183
1.176599999999639e-06	-30.80780481705433
1.1768000000023093e-06	-30.8187707548388
1.1769999999980407e-06	-30.829677159455663
1.177200000000711e-06	-30.840524070786607
1.1774000001005258e-06	-30.85131152877442
1.1775999999991127e-06	-30.862039573422894
1.177800000001783e-06	-30.87270824479668
1.1779999999975144e-06	-30.88331758302115
1.1782000000001847e-06	-30.893867628282305
1.178400000002855e-06	-30.90435842082661
1.1785999999985863e-06	-30.91479000096092
1.1788000000012566e-06	-30.92516240905228
1.179000000003927e-06	-30.93547568552785
1.1791999999996583e-06	-30.945729870874807
1.1794000000023286e-06	-30.955925005640136
1.17959999999806e-06	-30.96606113043056
1.1798000000007303e-06	-30.9761382859124
1.180000000100545e-06	-30.986156512811473
1.180199999999132e-06	-30.99611585191292
1.1804000000018022e-06	-31.006016344061113
1.1805999999975336e-06	-31.01585803015952
1.180800000000204e-06	-31.025640951170576
1.1810000000028742e-06	-31.035365148115567
1.1811999999986056e-06	-31.04503066207449
1.1814000000012759e-06	-31.054637534185932
1.1816000000039462e-06	-31.064185805646964
1.1817999999996776e-06	-31.073675517712974
1.1820000000023478e-06	-31.08310671169758
1.1821999999980792e-06	-31.092479428972485
1.1824000000007495e-06	-31.101793710967357
1.1826000001005643e-06	-31.111049599169682
1.1827999999991512e-06	-31.120247135124696
1.1830000000018215e-06	-31.12938636043519
1.1831999999975529e-06	-31.138467316761428
1.1834000000002232e-06	-31.147490045821
